Date,O18,,
1/15/1979,,,
2/15/1979,,,
3/15/1979,,,
4/15/1979,,,
5/15/1979,,,
6/15/1979,,,
7/15/1979,,,
8/15/1979,,,
9/15/1979,-5.61,,
10/15/1979,-4.21,,
11/15/1979,-2.4,,
12/15/1979,-3.36,1979,-2.6
1/15/1980,-2.78,,
2/15/1980,-1.66,,
3/15/1980,-3.31,,
4/15/1980,-4.21,,
5/15/1980,-3.33,,
6/15/1980,-6.39,,
7/15/1980,-4.91,,
8/15/1980,-4.52,,
9/15/1980,-3.32,,
10/15/1980,-5.98,,
11/15/1980,-1.63,,
12/15/1980,-1.91,1980,-1.406666667
1/15/1981,-0.69,,
2/15/1981,-1.62,,
3/15/1981,-2.46,,
4/15/1981,-2.63,,
5/15/1981,-6.25,,
6/15/1981,-5.02,,
7/15/1981,-4.16,,
8/15/1981,-5.35,,
9/15/1981,-5.28,,
10/15/1981,-3.67,,
11/15/1981,,,
12/15/1981,,1981,-2.315
1/15/1982,-2.67,,
2/15/1982,-1.96,,
3/15/1982,-3.33,,
4/15/1982,-5.47,,
5/15/1982,-3.65,,
6/15/1982,-6.12,,
7/15/1982,-4.66,,
8/15/1982,-3.41,,
9/15/1982,-1.16,,
10/15/1982,-2.88,,
11/15/1982,-2.69,,
12/15/1982,-3.19,1982,-3.8
1/15/1983,-3.47,,
2/15/1983,-4.74,,
3/15/1983,-5.9,,
4/15/1983,-4.35,,
5/15/1983,-4.66,,
6/15/1983,-5.59,,
7/15/1983,-5.96,,
8/15/1983,-2.66,,
9/15/1983,-4.45,,
10/15/1983,0.33,,
11/15/1983,-2.67,,
12/15/1983,-2.65,1983,-2.49
1/15/1984,-2.16,,
2/15/1984,-2.66,,
3/15/1984,-4.5,,
4/15/1984,-2.78,,
5/15/1984,-3.67,,
6/15/1984,-4.24,,
7/15/1984,-6.5,,
8/15/1984,-5.32,,
9/15/1984,-6.07,,
10/15/1984,-3.58,,
11/15/1984,-1.85,,
12/15/1984,-3.1,1984,-2.753333333
1/15/1985,-3.77,,
2/15/1985,-1.39,,
3/15/1985,-2.78,,
4/15/1985,-4.85,,
5/15/1985,-5.62,,
6/15/1985,-4.99,,
7/15/1985,,,
8/15/1985,-4.86,,
9/15/1985,-3.67,,
10/15/1985,-1.84,,
11/15/1985,-4.79,,
12/15/1985,-3.23,1985,-2.76
1/15/1986,-2.7,,
2/15/1986,-2.35,,
3/15/1986,-2.23,,
4/15/1986,-3.81,,
5/15/1986,-4.86,,
6/15/1986,,,
7/15/1986,-6.74,,
8/15/1986,-4.52,,
9/15/1986,-4.06,,
10/15/1986,-3.54,,
11/15/1986,-2.98,,
12/15/1986,-4.58,1986,-3.463333333
1/15/1987,-2.53,,
2/15/1987,-3.28,,
3/15/1987,-5.01,,
4/15/1987,-5.01,,
5/15/1987,-7.66,,
6/15/1987,-4.57,,
7/15/1987,-5.4,,
8/15/1987,,,
9/15/1987,-2.62,,
10/15/1987,-2.62,,
11/15/1987,-3.25,,
12/15/1987,-3.61,1987,-1.665
1/15/1988,0.28,,
2/15/1988,,,
3/15/1988,-3.82,,
4/15/1988,,,
5/15/1988,,,
6/15/1988,-5.49,,
7/15/1988,,,
8/15/1988,-2.83,,
9/15/1988,-1.21,,
10/15/1988,-0.05,,
11/15/1988,-3,,
12/15/1988,-1.21,1988,-1.21
1/15/1989,,,
2/15/1989,,,
3/15/1989,-2.38,,
4/15/1989,-2.3,,
5/15/1989,-4.28,,
6/15/1989,-6.59,,
7/15/1989,-5.33,,
8/15/1989,-3.82,,
9/15/1989,-3.92,,
10/15/1989,-2.34,,
11/15/1989,-1.82,,
12/15/1989,,1989,#DIV/0!
1/15/1990,,,
2/15/1990,,,
3/15/1990,,,
4/15/1990,,,
5/15/1990,,,
6/15/1990,-6.77,,
7/15/1990,-4.21,,
8/15/1990,-5.15,,
9/15/1990,-4.87,,
10/15/1990,-3.8,,
11/15/1990,-1.38,,
12/15/1990,-2.63,1990,-3.46
1/15/1991,-4.14,,
2/15/1991,-3.61,,
3/15/1991,,,
4/15/1991,-7.22,,
5/15/1991,-4.08,,
6/15/1991,-5.66,,
7/15/1991,-5.45,,
8/15/1991,-5.15,,
9/15/1991,-4.29,,
10/15/1991,-0.2,,
11/15/1991,,,
12/15/1991,-6.03,1991,-6.03
1/15/1992,,,
2/15/1992,,,
3/15/1992,,,
4/15/1992,,,
5/15/1992,,,
6/15/1992,,,
7/15/1992,,,
8/15/1992,,,
9/15/1992,,,
10/15/1992,,,
11/15/1992,,,
12/15/1992,,1992,#DIV/0!
1/15/1993,,,
2/15/1993,,,
3/15/1993,,,
4/15/1993,,,
5/15/1993,,,
6/15/1993,,,
7/15/1993,,,
8/15/1993,,,
9/15/1993,,,
10/15/1993,,,
11/15/1993,,,
12/15/1993,,1993,#DIV/0!
1/15/1994,,,
2/15/1994,,,
3/15/1994,,,
4/15/1994,,,
5/15/1994,,,
6/15/1994,,,
7/15/1994,,,
8/15/1994,,,
9/15/1994,-4.97,,
10/15/1994,-4.83,,
11/15/1994,-2.26,,
12/15/1994,0.24,1994,0.24
1/15/1995,,,
2/15/1995,,,
3/15/1995,-3.48,,
4/15/1995,-6.5,,
5/15/1995,-5.06,,
6/15/1995,-5.1,,
7/15/1995,-5.85,,
8/15/1995,-3.66,,
9/15/1995,-3.72,,
10/15/1995,-3.12,,
11/15/1995,-1.42,,
12/15/1995,-2.74,1995,-4.18
1/15/1997,-5.19,,
2/15/1997,-4.61,,
3/15/1997,-3.8,,
4/15/1997,-4.09,,
5/15/1997,-6.08,,
6/15/1997,-5.22,,
7/15/1997,-4.71,,
8/15/1997,-4.14,,
9/15/1997,-5.12,,
10/15/1997,-4.1,,
11/15/1997,0.67,,
12/15/1997,11.46,1996,5.28
1/15/1998,4.84,,
2/15/1998,-0.46,,
3/15/1998,-0.92,,
4/15/1998,-4.95,,
5/15/1998,-1.76,,
6/15/1998,-1.92,,
7/15/1998,-4.29,,
8/15/1998,-2.47,,
9/15/1998,-2.63,,
10/15/1998,-2.3,,
11/15/1998,-0.29,,
12/15/1998,-3.09,1997,-3.89
1/15/1999,,,
2/15/1999,-4.69,,
3/15/1999,-2.68,,
4/15/1999,-1.52,,
5/15/1999,-4.82,,
6/15/1999,-4.02,,
7/15/1999,-3.38,,
8/15/1999,-3.32,,
9/15/1999,-2.91,,
10/15/1999,-1.97,,
11/15/1999,-3.895,,
12/15/1999,-3.12,1998,-3.583333333
1/15/2000,-3.95,,
2/15/2000,-3.68,,
3/15/2000,-3.16,,
4/15/2000,-3.84,,
5/15/2000,-4,,
6/15/2000,-4.31,,
7/15/2000,-5.16,,
8/15/2000,-4.59,,
9/15/2000,-3.26,,
10/15/2000,-4.38,,
11/15/2000,-2.73,,
12/15/2000,-1.83,1999,-1.84
1/15/2001,-1.34,,
2/15/2001,-2.35,,
3/15/2001,-4.44,,
4/15/2001,-4.1,,
5/15/2001,-4.45,,
6/15/2001,-4.2,,
7/15/2001,-5.56,,
8/15/2001,,,
9/15/2001,-2.75,,
10/15/2001,-3.53,,
11/15/2001,-3.25,,
12/15/2001,-3.3,2000,-2.26
1/15/2002,-1.22,,
2/15/2002,,,
3/15/2002,,,
4/15/2002,,,
5/15/2002,-5.2,,
6/15/2002,-3.34,,
7/15/2002,-3.8,,
8/15/2002,,,
9/15/2002,-2.62,,
10/15/2002,,,
11/15/2002,,,
12/15/2002,,2001,#DIV/0!
